Player,Squad,Season,Nation,Pos,Age,Goals,Assists,npxG,xA,Shots,Shot_Dist,SoT_p90,Pass_Cmp_Pct,Prg_Pass_Dist_p90,Long_Pass_Cmp_Pct,Touches_p90,Dribbles_Succ_p90,Prg_Carry_Dist_p90,Tackles,Interceptions,Blocks_p90,SCA,GCA_p90,Minutes,Goals_p90,Assists_p90,npxG_p90,xA_p90,Shots_p90,Tackles_p90,Interceptions_p90,SCA_p90,General_Position,x,y,z,Cluster_ID,Role_Probability,Role_Name
Prince-Désir Gouano,Amiens,2018,FRA,DF,23.0,0.0,0.0,0.6,0.1,7.0,8.3,0.032774945375091,78.5,222.67297887836853,57.0,45.85214857975237,0.1638747268754552,48.44136926438456,45.0,54.0,2.327021121631464,7.0,0.032774945375091,2746.0,0.0,0.0,0.0196649672250546,0.0032774945375091,0.2294246176256372,1.4748725418790969,1.7698470502549164,0.2294246176256372,Defender,5.418652,5.3122673,4.1966176,4,0.9989638735022268,Commanding Center Back
Oualid El Hajjam,Amiens,2018,MAR,DF,26.0,1.0,1.0,1.1,1.0,19.0,22.8,0.1228389444949954,69.3,259.4358507734304,38.7,55.03184713375796,0.9417652411282984,91.47406733393994,61.0,67.0,1.5559599636032757,29.0,0.1228389444949954,2198.0,0.0409463148316651,0.0409463148316651,0.0450409463148316,0.0409463148316651,0.7779799818016379,2.4977252047315743,2.743403093721565,1.1874431301182893,Defender,2.64199,6.329458,4.3838654,1,0.9996434133816444,Stopper / No-Nonsense CB
Yoann Andreu,Angers,2018,FRA,DF,28.0,1.0,2.0,0.2,1.8,6.0,22.1,0.0869565217391304,77.4,310.47826086956525,44.4,60.130434782608695,0.4782608695652174,108.2608695652174,36.0,42.0,1.8695652173913044,38.0,0.1739130434782608,2070.0,0.0434782608695652,0.0869565217391304,0.008695652173913,0.0782608695652174,0.2608695652173913,1.565217391304348,1.826086956521739,1.6521739130434785,Defender,3.3492177,6.0485363,4.634823,1,0.999870031989446,Stopper / No-Nonsense CB
Abdoulaye Bamba,Angers,2018,CIV,DF,27.0,0.0,0.0,0.1,0.3,4.0,28.8,0.0587084148727984,76.7,289.6086105675147,31.7,55.24461839530333,0.7045009784735812,83.71819960861056,20.0,10.0,1.5264187866927592,16.0,0.1174168297455968,1533.0,0.0,0.0,0.0058708414872798,0.0176125244618395,0.2348336594911937,1.1741682974559686,0.5870841487279843,0.9393346379647748,Defender,0.9295909,2.72171,4.468062,2,1.0,Conservative Defender
Vincent Manceau,Angers,2018,FRA,DF,28.0,0.0,0.0,0.6,1.8,16.0,25.4,0.0909090909090909,74.8,325.5151515151515,47.0,60.87878787878788,0.3636363636363636,103.27272727272728,71.0,37.0,1.8181818181818183,46.0,0.0,2970.0,0.0,0.0,0.0181818181818181,0.0545454545454545,0.4848484848484848,2.1515151515151514,1.121212121212121,1.393939393939394,Defender,1.2245356,4.417212,3.4043016,2,0.999512624247651,Conservative Defender
Mateo Pavlović,Angers,2018,BIH,DF,27.0,2.0,0.0,2.3,0.0,19.0,9.1,0.2746693794506612,83.0,256.8616480162767,61.9,48.61648016276703,0.1373346897253306,80.75279755849441,14.0,17.0,0.8240081383519837,9.0,0.091556459816887,1966.0,0.091556459816887,0.0,0.1052899287894201,0.0,0.8697863682604272,0.6408952187182095,0.7782299084435402,0.4120040691759918,Defender,7.7115903,3.1608927,2.1633034,0,0.9999963958947568,Ball Playing Defender
Romain Thomas,Angers,2018,FRA,DF,29.0,2.0,0.0,1.8,0.2,19.0,9.4,0.2550607287449393,79.4,327.5344129554656,63.8,52.688259109311744,0.0728744939271255,72.51012145748989,31.0,26.0,1.7125506072874497,13.0,0.0364372469635627,2470.0,0.0728744939271255,0.0,0.0655870445344129,0.0072874493927125,0.6923076923076923,1.1295546558704452,0.9473684210526316,0.4736842105263157,Defender,7.28752,2.9466832,2.5390627,0,0.9999966288665078,Ball Playing Defender
Ismaël Traoré,Angers,2018,CIV,DF,30.0,3.0,1.0,1.4,0.6,15.0,8.7,0.2206654991243432,81.6,234.7250437828371,66.5,42.96672504378284,0.2206654991243432,60.6199649737303,45.0,39.0,1.481611208406305,16.0,0.063047285464098,2855.0,0.0945709281961471,0.031523642732049,0.0441330998248686,0.0189141856392294,0.4728546409807355,1.418563922942207,1.2294220665499125,0.5043782837127846,Defender,6.632972,5.180173,3.5638142,4,0.9998982359452072,Commanding Center Back
Héctor Bellerín,Arsenal,2018,ESP,DF,22.0,2.0,3.0,2.6,3.6,29.0,16.8,0.2359882005899705,84.0,260.70796460177,59.9,75.36873156342183,0.943952802359882,121.03244837758112,63.0,34.0,1.887905604719764,73.0,0.2064896755162241,3051.0,0.0589970501474926,0.0884955752212389,0.0766961651917404,0.1061946902654867,0.8554572271386431,1.8584070796460177,1.0029498525073748,2.1533923303834808,Defender,4.584086,3.7303133,1.973166,3,0.9696432393243212,Progressive Defender
Sead Kolašinac,Arsenal,2018,BIH,DF,24.0,2.0,4.0,2.3,3.4,21.0,12.9,0.2515137401024686,80.7,295.2352119236144,56.5,72.81322775966466,0.6287843502561714,116.28318584070796,62.0,24.0,0.9222170470423848,41.0,0.2515137401024686,2147.0,0.0838379133674895,0.167675826734979,0.0964136003726129,0.1425244527247322,0.88029809035864,2.598975314392175,1.0060549604098743,1.718677224033535,Defender,1.2482108,5.258931,2.8142965,2,0.8677919879530432,Conservative Defender
